max_cc cc_shift dlnA mstalta length start end center mode
 0.580809 36.0  0.911231  0.004474   865  1877  2742  2309 0
 0.762560 37.0  0.642884  1.000000   330  1877  2207  2042 1
 0.306635 20.0  2.082492  0.004474   701  2207  2908  2557 0
 0.397642 25.0  1.660567  0.046179   458  2450  2908  2679 0
 0.570131 22.0  1.475443  0.046179   224  2684  2908  2796 0
 0.708841 24.0  1.317816  1.000000   166  2742  2908  2825 0
 0.710122  8.0  0.136209  0.004886  1891  1014  2905  1959 0
 0.828917  8.0  0.027980  0.039316   726  1014  1740  1377 0
 0.739732  8.0  0.093950  0.021349  1190  1014  2204  1609 0
 0.815239  7.0  0.050676  0.021349   861  1014  1875  1444 0
 0.714154  8.0  0.130506  0.004886  1725  1014  2739  1876 0
 0.721351  8.0  0.121001  0.010241  1436  1014  2450  1732 0
 0.959457  7.0 -0.105070  0.096025   568  1014  1582  1298 1
 0.981139  4.0 -0.229356  1.000000   330  1014  1344  1179 1
 0.662873 10.0  0.278947  0.004886  1395  1344  2739  2041 0
 0.671257 10.0  0.267148  0.010241  1106  1344  2450  1897 0
 0.977727  8.0 -0.026588  1.000000   238  1344  1582  1463 1
 0.658814 10.0  0.285774  0.004886  1561  1344  2905  2124 0
 0.805367 10.0  0.158521  0.039316   396  1344  1740  1542 0
 0.692493 10.0  0.233128  0.021349   860  1344  2204  1774 0
 0.784527  9.0  0.184283  0.021349   531  1344  1875  1609 0
 0.418390 -135.0  0.977457  0.004886  1157  1582  2739  2160 0
 0.415286 -134.0  0.984543  0.004886  1323  1582  2905  2243 0
 0.426037 -135.0  0.956175  0.010241   868  1582  2450  2016 0
 0.453103 -135.0  0.889016  0.021349   622  1582  2204  1893 0
 0.442354 231.0  0.804549  0.010241   710  1740  2450  2095 0
 0.406038 231.0  0.861423  0.004886  1165  1740  2905  2322 0
 0.427917 231.0  0.845386  0.004886   999  1740  2739  2239 0
 0.505241 234.0  0.665476  0.038098   464  1740  2204  1972 0
 0.766413 35.0  0.701126  1.000000   329  1875  2204  2039 1
 0.587248 34.0  0.968136  0.004886  1030  1875  2905  2390 0
 0.626746 34.0  0.897504  0.010241   575  1875  2450  2162 0
 0.593970 35.0  0.950703  0.004886   864  1875  2739  2307 0
 0.289509 -601.0  2.095231  0.004886   701  2204  2905  2554 0
 0.397726 26.0  1.669109  0.047735   455  2450  2905  2677 0
 0.713258 25.0  1.309093  1.000000   166  2739  2905  2822 0
 0.813369  7.0  0.060391  0.020767   864  1009  1873  1441 0
 0.981532  4.0 -0.226901  1.000000   331  1009  1340  1174 1
 0.717969  8.0  0.136540  0.009944  1440  1009  2449  1729 0
 0.960999  7.0 -0.095877  0.096961   568  1009  1577  1293 1
 0.831853  8.0  0.035155  0.040102   729  1009  1738  1373 0
 0.706988  8.0  0.151332  0.005333  1893  1009  2902  1955 0
 0.736184  8.0  0.109648  0.020767  1192  1009  2201  1605 0
 0.710811  8.0  0.146076  0.005333  1728  1009  2737  1873 0
 0.667445 10.0  0.288776  0.009944  1109  1340  2449  1894 0
 0.980065  8.0 -0.011970  1.000000   237  1340  1577  1458 1
 0.688425 10.0  0.255075  0.020767   861  1340  2201  1770 0
 0.659149 10.0  0.300572  0.005333  1397  1340  2737  2038 0
 0.809290 10.0  0.169926  0.040102   398  1340  1738  1539 0
 0.780252  9.0  0.199072  0.020767   533  1340  1873  1606 0
 0.655300 10.0  0.306814  0.005333  1562  1340  2902  2121 0
 0.415977 28.0  0.993917  0.005333  1160  1577  2737  2157 0
 0.452805 28.0  0.907709  0.020767   624  1577  2201  1889 0
 0.424844 28.0  0.972989  0.009944   872  1577  2449  2013 0
 0.420079 28.0  0.999869  0.005333  1325  1577  2902  2239 0
 0.494564 233.0  0.722232  0.039100   463  1738  2201  1969 0
 0.411256 229.0  0.902856  0.005333  1164  1738  2902  2320 0
 0.445707 229.0  0.851351  0.009944   711  1738  2449  2093 0
 0.431345 229.0  0.889959  0.005333   999  1738  2737  2237 0
 0.606000 33.0  0.985927  0.005333   864  1873  2737  2305 0
 0.602716 32.0  0.999617  0.005333  1029  1873  2902  2387 0
 0.638013 33.0  0.935747  0.009944   576  1873  2449  2161 0
 0.768433 33.0  0.755022  1.000000   328  1873  2201  2037 1
 0.286211 -600.0  2.101099  0.005333   701  2201  2902  2551 0
 0.398649 26.0  1.672152  0.049128   453  2449  2902  2675 0
 0.725978 26.0  1.289633  1.000000   165  2737  2902  2819 0
 0.835244  7.0  0.043156  0.040842   733  1003  1736  1369 0
 0.704021  8.0  0.166814  0.005785  1897  1003  2900  1951 0
 0.810356  7.0  0.071104  0.020147   867  1003  1870  1436 0
 0.732651  8.0  0.125953  0.020147  1194  1003  2197  1600 0
 0.707557  8.0  0.162114  0.005785  1732  1003  2735  1869 0
 0.981716  4.0 -0.224190  1.000000   333  1003  1336  1169 1
 0.714677  8.0  0.152547  0.009639  1444  1003  2447  1725 0
 0.962323  7.0 -0.085336  0.097878   570  1003  1573  1288 1
 0.655640 10.0  0.322878  0.005785  1399  1336  2735  2035 0
 0.774613  9.0  0.215310  0.020147   534  1336  1870  1603 0
 0.684502 10.0  0.277874  0.020147   861  1336  2197  1766 0
 0.652085 10.0  0.328403  0.005785  1564  1336  2900  2118 0
 0.813607  9.0  0.182580  0.040842   400  1336  1736  1536 0
 0.982324  8.0  0.004817  1.000000   237  1336  1573  1454 1
 0.663857 10.0  0.311085  0.009639  1111  1336  2447  1891 0
 0.425272 28.0  1.008144  0.005785  1162  1573  2735  2154 0
 0.429482 28.0  1.012803  0.005785  1327  1573  2900  2236 0
 0.434282 28.0  0.987504  0.009639   874  1573  2447  2010 0
 0.462627 28.0  0.924213  0.020147   624  1573  2197  1885 0
 0.500601 140.0  0.774491  0.040165   461  1736  2197  1966 0
 0.443444 139.0  0.931182  0.005785   999  1736  2735  2235 0
 0.427146 139.0  0.940883  0.005785  1164  1736  2900  2318 0
 0.461883 139.0  0.894488  0.009639   711  1736  2447  2091 0
 0.615831 31.0  1.027055  0.005785  1030  1870  2900  2385 0
 0.769146 31.0  0.802202  1.000000   327  1870  2197  2033 1
 0.615947 31.0  1.017126  0.005785   865  1870  2735  2302 0
 0.647518 31.0  0.969395  0.009639   577  1870  2447  2158 0
 0.291660 -600.0  2.103532  0.005785   703  2197  2900  2548 0
 0.398414 27.0  1.671203  0.050337   453  2447  2900  2673 0
 0.743450 27.0  1.257041  1.000000   165  2735  2900  2817 0
 0.806064  7.0  0.082940  0.019504   873   995  1868  1431 0
 0.963023  7.0 -0.073852  0.098721   573   995  1568  1281 1
 0.981717  4.0 -0.221387  1.000000   337   995  1332  1163 1
 0.701218  8.0  0.182528  0.006221  1902   995  2897  1946 0
 0.728609  8.0  0.143451  0.019504  1199   995  2194  1594 0
 0.838315  7.0  0.052138  0.041535   739   995  1734  1364 0
 0.704408  8.0  0.178441  0.006221  1737   995  2732  1863 0
 0.711374  8.0  0.169009  0.009330  1451   995  2446  1720 0
 0.767692  9.0  0.233194  0.019504   536  1332  1868  1600 0
 0.652573 10.0  0.345666  0.006221  1400  1332  2732  2032 0
 0.983904  8.0  0.023282  1.000000   236  1332  1568  1450 1
 0.818180  9.0  0.196739  0.041535   402  1332  1734  1533 0
 0.680329 10.0  0.302288  0.019504   862  1332  2194  1763 0
 0.649369 10.0  0.350409  0.006221  1565  1332  2897  2114 0
 0.660578 10.0  0.334080  0.009330  1114  1332  2446  1889 0
 0.435991 28.0  1.019368  0.006221  1164  1568  2732  2150 0
 0.440231 28.0  1.022692  0.006221  1329  1568  2897  2232 0
 0.445024 28.0  0.999336  0.009330   878  1568  2446  2007 0
 0.473098 28.0  0.939719  0.019504   626  1568  2194  1881 0
 0.516646 139.0  0.825000  0.041291   460  1734  2194  1964 0
 0.446437 138.0  0.974934  0.006221  1163  1734  2897  2315 0
 0.480411 138.0  0.933799  0.009330   712  1734  2446  2090 0
 0.461586 138.0  0.968275  0.006221   998  1734  2732  2233 0
 0.655813 30.0  0.998524  0.009330   578  1868  2446  2157 0
 0.767721 30.0  0.847210  1.000000   326  1868  2194  2031 1
 0.626853 29.0  1.049934  0.006221  1029  1868  2897  2382 0
 0.625180 30.0  1.043547  0.006221   864  1868  2732  2300 0
 0.287403 -599.0  2.094857  0.006221   703  2194  2897  2545 0
 0.398822 28.0  1.662324  0.051330   451  2446  2897  2671 0
 0.763792 28.0  1.212520  1.000000   165  2732  2897  2814 0
 0.701693  8.0  0.194177  0.006626  1745   985  2730  1857 0
 0.963438  6.0 -0.061395  0.099452   579   985  1564  1274 1
 0.981599  4.0 -0.218597  1.000000   343   985  1328  1156 1
 0.840828  7.0  0.061794  0.042190   747   985  1732  1358 0
 0.698865  8.0  0.197672  0.006626  1910   985  2895  1940 0
 0.708356  8.0  0.185100  0.009028  1459   985  2444  1714 0
 0.800802  7.0  0.095303  0.018857   881   985  1866  1425 0
 0.724516  8.0  0.161108  0.018857  1206   985  2191  1588 0
 0.759996  9.0  0.251955  0.018857   538  1328  1866  1597 0
 0.647546 10.0  0.371847  0.006626  1567  1328  2895  2111 0
 0.822446  9.0  0.212017  0.042190   404  1328  1732  1530 0
 0.985010  8.0  0.043494  1.000000   236  1328  1564  1446 1
 0.676512 10.0  0.327015  0.018857   863  1328  2191  1759 0
 0.650381 10.0  0.367857  0.006626  1402  1328  2730  2029 0
 0.658015 10.0  0.356745  0.009028  1116  1328  2444  1886 0
 0.456996 28.0  1.008159  0.009028   880  1564  2444  2004 0
 0.448057 28.0  1.027179  0.006626  1166  1564  2730  2147 0
 0.452254 28.0  1.029296  0.006626  1331  1564  2895  2229 0
 0.484189 28.0  0.953159  0.018857   627  1564  2191  1877 0
 0.526724 137.0  0.870297  0.042489   459  1732  2191  1961 0
 0.494006 136.0  0.967368  0.009028   712  1732  2444  2088 0
 0.475383 136.0  0.999208  0.006626   998  1732  2730  2231 0
 0.461245 137.0  1.003256  0.006626  1163  1732  2895  2313 0
 0.637700 28.0  1.067338  0.006626  1029  1866  2895  2380 0
 0.634865 28.0  1.063966  0.006626   864  1866  2730  2298 0
 0.765291 28.0  0.887249  1.000000   325  1866  2191  2028 1
 0.664338 28.0  1.022171  0.009028   578  1866  2444  2155 0
 0.283005 -599.0  2.075168  0.006626   704  2191  2895  2543 0
 0.399559 29.0  1.644022  0.052100   451  2444  2895  2669 0
 0.787369 28.0  1.161662  1.000000   165  2730  2895  2812 0
 0.699897  8.0  0.208172  0.006989  1757   970  2727  1848 0
 0.981450  4.0 -0.215849  0.032736   354   970  1324  1147 0
 0.963297  6.0 -0.048761  0.032736   589   970  1559  1264 0
 0.705991  8.0  0.199838  0.008740  1472   970  2442  1706 0
 0.795165  7.0  0.107207  0.018222   893   970  1863  1416 0
 0.697396  8.0  0.211166  0.006989  1922   970  2892  1931 0
 0.720990  8.0  0.177588  0.018222  1217   970  2187  1578 0
 0.842974  7.0  0.071351  0.032736   759   970  1729  1349 0
 0.705991  8.0  0.199838  0.008740  1434  1008  2442  1725 0
 0.842974  7.0  0.071351  0.042802   721  1008  1729  1368 0
 0.699897  8.0  0.208172  0.006989  1719  1008  2727  1867 0
 0.720990  8.0  0.177588  0.018222  1179  1008  2187  1597 0
 0.963297  6.0 -0.048761  0.100042   551  1008  1559  1283 1
 0.795165  7.0  0.107207  0.018222   855  1008  1863  1435 0
 0.981450  4.0 -0.215849  1.000000   316  1008  1324  1166 1
 0.697396  8.0  0.211165  0.006989  1884  1008  2892  1950 0
 0.985252  8.0  0.064332  1.000000   235  1324  1559  1441 1
 0.752230  9.0  0.270294  0.018222   539  1324  1863  1593 0
 0.649544 10.0  0.388029  0.006989  1403  1324  2727  2025 0
 0.656516 10.0  0.377859  0.008740  1118  1324  2442  1883 0
 0.826577  9.0  0.227371  0.042802   405  1324  1729  1526 0
 0.647042 10.0  0.391385  0.006989  1568  1324  2892  2108 0
 0.673688 10.0  0.350376  0.018222   863  1324  2187  1755 0
 0.498204 28.0  0.960698  0.018222   628  1559  2187  1873 0
 0.463673 28.0  1.028243  0.006989  1168  1559  2727  2143 0
 0.472183 28.0  1.010989  0.008740   883  1559  2442  2000 0
 0.467683 28.0  1.029437  0.006989  1333  1559  2892  2225 0
 0.487134 135.0  1.022186  0.006989   998  1729  2727  2228 0
 0.533475 136.0  0.907604  0.043739   458  1729  2187  1958 0
 0.473770 135.0  1.024223  0.006989  1163  1729  2892  2310 0
 0.504884 135.0  0.993948  0.008740   713  1729  2442  2085 0
 0.644715 27.0  1.077131  0.006989   864  1863  2727  2295 0
 0.647759 27.0  1.078209  0.006989  1029  1863  2892  2377 0
 0.671830 27.0  1.039868  0.008740   579  1863  2442  2152 0
 0.762792 27.0  0.919881  1.000000   324  1863  2187  2025 1
 0.286340 -599.0  2.044750  0.006989   705  2187  2892  2539 0
 0.405246 29.0  1.609530  0.052638   450  2442  2892  2667 0
 0.807504 29.0  1.110682  1.000000   165  2727  2892  2809 0
 0.981348  4.0 -0.213074  0.054214   373   947  1320  1133 0
 0.704625  8.0  0.212426  0.008479  1494   947  2441  1694 0
 0.697131  8.0  0.222231  0.007304  1943   947  2890  1918 0
 0.718179  8.0  0.192406  0.017614  1237   947  2184  1565 0
 0.962688  6.0 -0.036352  0.054214   608   947  1555  1251 0
 0.997918  0.0 -0.220442  0.054214   130   947  1077  1012 0
 0.789700  7.0  0.117852  0.017614   914   947  1861  1404 0
 0.844683  7.0  0.080514  0.043381   780   947  1727  1337 0
 0.699368  8.0  0.219605  0.007304  1778   947  2725  1836 0
 0.789700  7.0  0.117852  0.017614   856  1005  1861  1433 0
 0.699368  8.0  0.219605  0.007304  1720  1005  2725  1865 0
 0.962688  6.0 -0.036352  0.100476   550  1005  1555  1280 1
 0.844683  7.0  0.080514  0.043381   722  1005  1727  1366 0
 0.981348  4.0 -0.213074  0.414422   315  1005  1320  1162 1
 0.704625  8.0  0.212426  0.008479  1436  1005  2441  1723 0
 0.997919  0.0 -0.220435  1.000000    72  1005  1077  1041 0
 0.718179  8.0  0.192406  0.017614  1179  1005  2184  1594 0
 0.697131  8.0  0.222231  0.007304  1885  1005  2890  1947 0
 0.789700  7.0  0.117852  0.017614   784  1077  1861  1469 0
 0.981348  4.0 -0.213074  1.000000   243  1077  1320  1198 1
 0.704625  8.0  0.212427  0.008479  1364  1077  2441  1759 0
 0.844683  7.0  0.080514  0.043381   650  1077  1727  1402 0
 0.699368  8.0  0.219605  0.007304  1648  1077  2725  1901 0
 0.718179  8.0  0.192406  0.017614  1107  1077  2184  1630 0
 0.697131  8.0  0.222232  0.007304  1813  1077  2890  1983 0
 0.962688  6.0 -0.036352  0.100476   478  1077  1555  1316 1
 0.671877 10.0  0.371744  0.017614   864  1320  2184  1752 0
 0.650304 10.0  0.405149  0.007304  1405  1320  2725  2022 0
 0.656320 10.0  0.396411  0.008479  1121  1320  2441  1880 0
 0.985012  8.0  0.085074  1.000000   235  1320  1555  1437 1
 0.648074 10.0  0.408041  0.007304  1570  1320  2890  2105 0
 0.744943  9.0  0.287121  0.017614   541  1320  1861  1590 0
 0.830221  9.0  0.242352  0.043381   407  1320  1727  1523 0
 0.513678 28.0  0.964502  0.017614   629  1555  2184  1869 0
 0.481599 27.0  1.023965  0.007304  1170  1555  2725  2140 0
 0.489296 27.0  1.009276  0.008479   886  1555  2441  1998 0
 0.485378 28.0  1.024576  0.007304  1335  1555  2890  2222 0
 0.513470 134.0  1.012330  0.008479   714  1727  2441  2084 0
 0.484440 134.0  1.036679  0.007304  1163  1727  2890  2308 0
 0.537733 134.0  0.937144  0.045053   457  1727  2184  1955 0
 0.497329 134.0  1.035957  0.007304   998  1727  2725  2226 0
 0.679240 26.0  1.051534  0.008479   580  1861  2441  2151 0
 0.655566 26.0  1.082788  0.007304   864  1861  2725  2293 0
 0.759676 26.0  0.947409  1.000000   323  1861  2184  2022 1
 0.658450 26.0  1.082402  0.007304  1029  1861  2890  2375 0
 0.281464 -599.0  1.996846  0.007304   706  2184  2890  2537 0
 0.419388 29.0  1.554308  0.052961   449  2441  2890  2665 0
 0.823532 29.0  1.069051  1.000000   165  2725  2890  2807 0
 0.961731  6.0 -0.024543  0.026722   669   881  1550  1215 0
 0.698124  8.0  0.230760  0.007566  2007   881  2888  1884 0
 0.994523  0.0 -0.239623  0.026722   120   881  1001   941 0
 0.846496  7.0  0.088549  0.026722   843   881  1724  1302 0
 0.700180  8.0  0.228359  0.007566  1841   881  2722  1801 0
 0.981339  4.0 -0.210159  0.026722   435   881  1316  1098 0
 0.716692  8.0  0.204622  0.017056  1299   881  2180  1530 0
 0.998973  1.0 -0.216914  0.026722   194   881  1075   978 0
 0.784931  7.0  0.126703  0.017056   977   881  1858  1369 0
 0.704463  8.0  0.222540  0.008259  1558   881  2439  1660 0
 0.716692  8.0  0.204622  0.017056  1291   889  2180  1534 0
 0.784931  7.0  0.126703  0.017056   969   889  1858  1373 0
 0.998973  1.0 -0.216914  0.119964   186   889  1075   982 0
 0.704463  8.0  0.222540  0.008259  1550   889  2439  1664 0
 0.961731  6.0 -0.024543  0.100742   661   889  1550  1219 1
 0.698124  8.0  0.230760  0.007566  1999   889  2888  1888 0
 0.994523  0.0 -0.239623  1.000000   112   889  1001   945 0
 0.846496  7.0  0.088549  0.043930   835   889  1724  1306 0
 0.981339  4.0 -0.210159  0.119964   427   889  1316  1102 1
 0.700180  8.0  0.228359  0.007566  1833   889  2722  1805 0
 0.784931  7.0  0.126703  0.017056   857  1001  1858  1429 0
 0.704463  8.0  0.222540  0.008259  1438  1001  2439  1720 0
 0.961731  6.0 -0.024543  0.100742   549  1001  1550  1275 1
 0.700179  8.0  0.228359  0.007566  1721  1001  2722  1861 0
 0.698124  8.0  0.230760  0.007566  1887  1001  2888  1944 0
 0.998962  1.0 -0.216903  1.000000    74  1001  1075  1038 0
 0.981339  4.0 -0.210159  0.441803   315  1001  1316  1158 1
 0.846496  7.0  0.088549  0.043930   723  1001  1724  1362 0
 0.716692  8.0  0.204622  0.017056  1179  1001  2180  1590 0
 0.981339  4.0 -0.210159  1.000000   241  1075  1316  1195 1
 0.716692  8.0  0.204622  0.017056  1105  1075  2180  1627 0
 0.784931  7.0  0.126703  0.017056   783  1075  1858  1466 0
 0.846496  7.0  0.088549  0.043930   649  1075  1724  1399 0
 0.704463  8.0  0.222540  0.008259  1364  1075  2439  1757 0
 0.961731  6.0 -0.024542  0.100742   475  1075  1550  1312 1
 0.700180  8.0  0.228359  0.007566  1647  1075  2722  1898 0
 0.698124  8.0  0.230761  0.007566  1813  1075  2888  1981 0
 0.833946  9.0  0.255918  0.043930   408  1316  1724  1520 0
 0.652584 10.0  0.419028  0.007566  1406  1316  2722  2019 0
 0.738603  9.0  0.301680  0.017056   542  1316  1858  1587 0
 0.671593 10.0  0.389914  0.017056   864  1316  2180  1748 0
 0.657496 10.0  0.411961  0.008259  1123  1316  2439  1877 0
 0.650543 10.0  0.421636  0.007566  1572  1316  2888  2102 0
 0.984244  8.0  0.105225  1.000000   234  1316  1550  1433 1
 0.533127 27.0  0.960231  0.017056   630  1550  2180  1865 0
 0.503765 27.0  1.011796  0.007566  1172  1550  2722  2136 0
 0.510409 27.0  1.000042  0.008259   889  1550  2439  1994 0
 0.507199 27.0  1.012186  0.007566  1338  1550  2888  2219 0
 0.494422 132.0  1.041970  0.007566  1164  1724  2888  2306 0
 0.541621 133.0  0.957674  0.046418   456  1724  2180  1952 0
 0.507414 132.0  1.041956  0.007566   998  1724  2722  2223 0
 0.521325 132.0  1.023337  0.008259   715  1724  2439  2081 0
 0.685512 24.0  1.057657  0.008259   581  1858  2439  2148 0
 0.667976 24.0  1.081181  0.007566  1030  1858  2888  2373 0
 0.756222 24.0  0.967134  1.000000   322  1858  2180  2019 1
 0.665845 24.0  1.082293  0.007566   864  1858  2722  2290 0
 0.284474 -599.0  1.939977  0.007566   708  2180  2888  2534 0
 0.442281 29.0  1.482759  0.053077   449  2439  2888  2663 0
 0.831991 29.0  1.041997  1.000000   166  2722  2888  2805 0
 0.993867  0.0 -0.245279  1.000000   116   881   997   939 0
 0.780900  7.0  0.134115  0.016561   975   881  1856  1368 0
 0.848425  7.0  0.095600  0.044445   840   881  1721  1301 0
 0.960700  6.0 -0.013569  0.100829   665   881  1546  1213 1
 0.716377  8.0  0.214742  0.016561  1296   881  2177  1529 0
 0.702120  8.0  0.235018  0.007771  1838   881  2719  1800 0
 0.705448  8.0  0.230534  0.008092  1555   881  2436  1658 0
 0.700167  8.0  0.237319  0.007771  2005   881  2886  1883 0
 0.999908  1.0 -0.213310  0.127268   188   881  1069   975 0
 0.981426  4.0 -0.206975  0.127268   431   881  1312  1096 1
 0.999892  1.0 -0.213294  1.000000    72   997  1069  1033 0
 0.960700  6.0 -0.013569  0.100829   549   997  1546  1271 1
 0.705449  8.0  0.230534  0.008092  1439   997  2436  1716 0
 0.848425  7.0  0.095600  0.044445   724   997  1721  1359 0
 0.981426  4.0 -0.206975  0.429626   315   997  1312  1154 1
 0.780900  7.0  0.134115  0.016561   859   997  1856  1426 0
 0.702120  8.0  0.235018  0.007771  1722   997  2719  1858 0
 0.700167  8.0  0.237319  0.007771  1889   997  2886  1941 0
 0.716377  8.0  0.214742  0.016561  1180   997  2177  1587 0
 0.716377  8.0  0.214742  0.016561  1108  1069  2177  1623 0
 0.702120  8.0  0.235018  0.007771  1650  1069  2719  1894 0
 0.848425  7.0  0.095600  0.044445   652  1069  1721  1395 0
 0.705449  8.0  0.230535  0.008092  1367  1069  2436  1752 0
 0.700167  8.0  0.237319  0.007771  1817  1069  2886  1977 0
 0.780900  7.0  0.134115  0.016561   787  1069  1856  1462 0
 0.960700  6.0 -0.013568  0.100829   477  1069  1546  1307 1
