Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
N4,Z38B,-94.985199,33.259899,,,,,115,2/11/14,
IM,TX01,-103.6677,29.334,,,,,996.7999878,4/2/95,
IM,TX02,-103.658,29.3299,,,,,965.2999878,3/28/95,
IM,TX03,-103.6743,29.3314,,,,,996.5,1/2/72,
IM,TX04,-103.6673,29.3399,,,,,997.2000122,3/28/95,
IM,TX06,-103.682,29.319,,,,,939.5,3/28/95,
IM,TX07,-103.689,29.3404,,,,,1069.699951,3/28/95,
IM,TX08,-103.6769,29.3509,,,,,1044.5,3/28/95,
IM,TX09,-103.6602,29.3437,,,,,988.2999878,3/28/95,
IM,TX10,-103.7035,29.3305,,,,,1034.099976,3/28/95,
IM,TX31,-103.6677,29.3343,,,,,991.4000244,10/29/98,
IM,TX32,-103.6677,29.334,,,,,995.5,12/13/00,
4O,LWM1,-103.63,31.2312,,,,"North of Verhalen, TX",826.8,7/26/19,
4O,LWM2,-103.5847,31.2699,,,,Southwest of Pecos,810.6,7/26/19,
4O,PR01,-103.270332,31.2365,Schlumberger Network,TXHUB,,P06,826,2/26/20,
ZW,IFS3,-96.9211,32.8312,,,,,150,1/7/15,
ZW,ILCC,-96.9472,32.861,,,,,158,2/19/15,
ZW,IPD1,-96.9333,32.889,,,,,128,1/16/15,
ZW,IPD1V,-96.9334,32.8888,,,,,148,1/24/17,
ZW,ITL1,-96.899,32.8489,,,,,230,1/6/15,
ZW,ITSC,-96.8498,32.8903,,,,,158,1/10/15,
4F,V2600,-97.0995,32.5095,,,,,177,5/9/15,
4F,VALP,-97.1425,32.5202,,,,,195,3/9/17,
4F,VBB1,-97.2331,32.452,,,,,238,5/9/15,
4F,VMCM,-97.0809,32.4579,,,,,177,5/9/15,
4F,VNLC,-97.2036,32.5759,,,,,206,5/9/15,
4F,VSAB,-97.2303,32.4963,,,,,210,5/9/15,
4F,VVFD,-97.1031,32.4325,,,,,208,5/9/15,
NQ,AZEP,-97.535378,32.963421,,,,,224,1/7/14,
NQ,AZNH,-97.590424,32.989052,,,,,273,12/23/13,
NQ,BRRD,-97.537849,32.99485,,,,,223,12/20/13,
NQ,UDKH,-96.916786,32.846939,,,,,145,12/31/88,
NQ,VAVE,-97.144112,32.519421,,,,,188,9/22/16,
NQ,VTAX,-97.143913,32.51968,,,,,203,5/11/15,
GM,NMP01,-103.86048,32.20476,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 01,1048,11/5/19,
GM,NMP02,-103.86139,32.08945,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 02,996,11/5/19,
TX,OG04,-102.35986,31.92935,University of Texas,TexNet,,"Odessa, TX",805,11/17/20,
TX,MB09,-101.82,32.3391,Texas Seismological Network,TexNet,,"Lenorah, TX",798.5,1/10/21,
4O,DB04,-103.1054,31.0664,Unavailable,TXHUB,,"Coyanosa,TX (1)",868,2/21/21,
4O,DB03,-103.078,31.1162,Unavailable,TXHUB,,"Coyanosa, TX (2)",839,2/21/21,
4O,DB02,-103.1096,31.1858,Unavailable,TXHUB,,"Coyanosa,TX (3)",820,2/21/21,
TX,MB10,-101.792,32.2651,University of Texas,TXHUB,,Stanton,813,3/31/21,
TX,INDO,-100.298344,28.467247,University of Texas,TXHUB,,"El Indio, TX",721,5/20/21,
TX,PB34,-104.037778,31.676667,Unavailable,TXHUB,,"Reeves, TX",969.3,7/5/21,
4O,WB01,-104.060278,31.721667,Unavailable,TXHUB,,"Culberson, TX",927,7/6/21,
TX,MB11,-101.972645,32.146839,Texas Seismological Network,TXHUB,,Midland,812,10/4/21,
2T,EF77,-97.97107,28.24334,University of Texas,TXHUB,,"Dinero,TX",62,8/18/21,
4T,FMR1,-98.5675,26.602778,University of Texas,TexNet,,"Starr County, TX",140,10/6/21,
4T,FMR2,-98.58452,26.57328,University of Texas,TexNet,,"Starr County, TX",140,10/6/21,
4T,FMR3,-98.5413535,26.5808215,,,,"Starr County, TX",131,10/6/21,
4T,FMR4,-98.5649445,26.5790753,Unavailable,TXHUB,,"Starr County, TX",137,10/8/21,
4O,OP01,-101.36427,32.43232,,,,"NE of Big Spring, TX",760,6/30/21,
GM,NMP11,-103.93155,32.00668,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S1,882.7,3/17/21,
GM,NMP12,-103.95259,32.12755,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S2,951.8,3/17/21,
GM,NMP31,-103.73465,32.03585,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S1,972.8,3/18/21,
GM,NMP44,-103.61883,32.20474,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S4,1085.7,3/19/21,
4O,MID02,-102.1669,32.1297,Unavailable,TXHUB,,"Midland, TX",883,12/6/21,
4O,SA02,-104.2649,31.67163,,,,"West of Orla, TX",1127.5,12/7/21,
4O,SA04,-104.25458,31.75593,,,,"West of Orla, TX",1092.1,12/7/21,
4O,SA06,-104.14971,31.75696,,,,"West of Orla, TX",1048.2,12/7/21,
4O,MBBB1,-101.891072,32.246247,,,,,855,9/16/21,
4O,CT01,-104.144532,31.90285,,,,,994,2/25/22,
4O,CT02,-104.122493,31.95689,,,,,952,2/25/22,
4T,EL01,-95.136906,29.613102,,,,Ellington AFB,8,11/5/21,
4T,EL02,-95.166403,29.590574,,,,Ellington AFB,10,11/5/21,
4T,EL03,-95.174532,29.622642,,,,Ellington AFB,13,11/5/21,
4T,EL08,-95.124682,29.567319,University of Texas,TexNet,,,10,11/18/21,
4T,EL07,-95.082627,29.653474,University of Texas,TexNet,,EL07,9,12/1/21,
4T,EL04,-95.309331,29.563707,University of Texas,TexNet,,EL04,2,3/10/22,
4T,EL06,-95.173643,29.660086,University of Texas,TexNet,,EL06,11,3/29/22,
4O,MID03,-102.2109,32.0121,Unavailable,TXHUB,,"Midland, TX",874,2/14/22,
4O,PL01,-103.3596294,31.9948147,,,,,949,1/2/22,
4O,CF01,-100.58318,32.80184,,,,,640,3/20/22,
4O,HP01,-101.2256703,32.4498025,,,,,736,1/2/22,
4O,WB03,-103.9688386,31.6107215,,,,,994,5/10/22,
4O,WB02,-103.9449205,31.7363019,,,,,932,5/10/22,
SC,121A,-107.785103,32.532398,New Mexico Tech Seismic Network (),,,Cookes Peak,1652,3/5/19,
SC,LEM,-106.974167,34.165501,New Mexico Tech Seismic Network (),,,Lemita,1698,12/31/98,
SC,SBY,-107.180664,33.975166,New Mexico Tech Seismic Network (),,,South Baldy,3230,12/31/98,
SC,SMC,-107.019302,33.778667,New Mexico Tech Seismic Network (),,,San Marcial,1560,12/31/98,
4T,EL05,-95.286764,29.647182,University of Texas,TexNet,,,12,4/26/22,
4O,MBBB2,-102.073906,32.053452,,,,,850,3/9/22,
GM,NMP01,-103.86048,32.20476,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 01,1048,11/5/19,
GM,NMP02,-103.86139,32.08945,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 02,996,11/5/19,
GM,NMP11,-103.93155,32.00668,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S1,882.7,3/17/21,
GM,NMP12,-103.95259,32.12755,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S2,951.8,3/17/21,
GM,NMP23,-103.802893,32.167112,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S3,1049.6,6/2/21,
GM,NMP25,-103.860072,32.33787,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S5,983,8/26/20,
GM,NMP31,-103.73465,32.03585,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S1,972.8,3/18/21,
GM,NMP34,-103.68967,32.26384,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S4,1121.7,8/25/20,
GM,NMP35,-103.724675,32.352297,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S5,1071,6/1/21,
GM,NMP41,-103.596471,32.00509,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S1,959.9,8/28/20,
GM,NMP44,-103.61883,32.20474,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S4,1085.7,3/19/21,
GM,NMP45,-103.58198,32.33145,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S5,1127.4,6/1/21,
GM,NMP51,-103.421678,32.00448,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S1,975,6/2/21,
GM,NMP53,-103.431176,32.17626,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S3,1037.3,8/27/20,
TX,MB12,-101.602778,32.368611,Unavailable,TXHUB,,,775.6,7/13/22,
TX,PB35,-104.43203,31.656187,Unavailable,TXHUB,,"Van Horn, TX",1224,7/26/22,
TX,PB37,-104.528416,31.71847,Unavailable,TXHUB,,"Van Horn, TX",1263,7/28/22,
TX,PB38,-104.426634,31.72972,Unavailable,TXHUB,,"Van Horn, TX",1240,7/28/22,
